ProjectCoCID,ProjectID,CoCCode,Geocode,Address1,Address2,City,State,ZIP,GeographyType,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"1352","398","OH-507","399143","109 South Front Street",,"Fremont","OH","43420",3,2024-02-05 14:54:07,2024-02-05 14:54:07,"27",,"42412"
"1222","398","OH-501",,,,,,,,2021-08-11 17:06:20,2024-02-05 14:54:07,"27",2024-02-05 14:54:07,"42412"
"399","399","OH-507","394998","501 W. High St.",,"Springfield","OH","45506",1,2021-06-14 09:12:06,2021-06-14 09:12:06,"5",,"42412"
"400","400","OH-507","399041","340 Lake Street",,"Delaware","OH","43015",2,2021-06-14 09:12:07,2021-06-14 09:12:07,"5",,"42412"
"1159","401","OH-507","391176","966 Main St",,"Columbus","OH","43205",1,2021-07-01 10:52:28,2021-07-01 10:52:28,"24",,"42412"
"402","402","OH-507","399119","828 Lee St",,"Zanesville","OH","43701",3,2021-06-14 09:12:09,2021-06-14 09:12:09,"5",,"42412"
"405","405","OH-507","399085","1 Victoria Pl","Ste 265A","Painesville","OH","44077",2,2021-06-14 09:12:11,2021-06-14 09:12:11,"5",,"42412"
"1224","406","OH-504","395874","201 Wick Ave","","Youngstown","OH","44503",1,2021-08-26 16:15:43,2021-08-26 16:15:43,"26",,"42412"
"1225","407","OH-504","395874","201 Wick Ave","","Youngstown","OH","44503",1,2021-08-26 16:16:13,2021-08-26 16:16:13,"26",,"42412"
"1297","408","OH-504","399099","21 W Boardman St","","Youngstown","OH","44503",1,2023-01-05 13:16:44,2023-01-05 13:16:44,"27",,"42412"
"1296","409","OH-504","399099","21 W Boardman St","","Youngstown","OH","44503",1,2022-11-28 14:20:52,2022-11-28 14:20:52,"424",,"42412"
"1148","411","OH-507","399091","1521 N. Detroit Street",,"West Liberty","OH","43357",3,2021-07-01 10:45:07,2021-07-01 10:45:07,"24",,"42412"
"412","412","OH-507","399091","1521 N. Detroit Street",,"West Liberty","OH","43357",3,2021-06-14 09:12:15,2021-06-14 09:12:15,"5",,"42412"
"413","413","OH-507","399091","1521 N. Detroit Street",,"West Liberty","OH","43357",3,2021-06-14 09:12:16,2021-06-14 09:12:16,"5",,"42412"
"414","414","OH-507","399007","PO Box 2610",,"Ashtabula","OH","44005",3,2021-06-14 09:12:16,2021-06-14 09:12:16,"5",,"42412"
"415","415","OH-507","399091","1521 N. Detroit Street",,"West Liberty","OH","43357",3,2021-06-14 09:12:17,2021-06-14 09:12:17,"5",,"42412"
"416","416","OH-507","399007","2009 W Prospect Road",,"Ashtabula","OH","44004",3,2021-06-14 09:12:17,2021-06-14 09:12:17,"5",,"42412"
"417","417","OH-507","399005","2233 Rocky Lane",,"Ashland","OH","44805",2,2021-06-14 09:12:18,2021-06-14 09:12:18,"5",,"42412"
"418","418","OH-507","392634","1743 E. Main Street",,"Lancaster","OH","43130",3,2021-06-14 09:12:18,2021-06-14 09:12:18,"5",,"42412"
"420","420","OH-507","392634","1743 E. Main Street",,"Lancaster","OH","43130",3,2021-06-14 09:12:19,2021-06-14 09:12:19,"5",,"42412"
"1156","421","OH-507","399163","605 W Main St",,"Mc Arthur","OH","45651",3,2021-07-01 10:50:50,2021-07-01 10:50:50,"24",,"42412"
"422","422","OH-507","394998","76 E High St",,"Springfield","OH","45502",1,2021-06-14 09:12:21,2021-06-14 09:12:21,"5",,"42412"
"424","424","OH-507","392634","1681 E. Main Street",,"Lancaster","OH","43130",3,2021-06-14 09:12:23,2021-06-14 09:12:23,"5",,"42412"
"425","425","OH-507","392634","1681 E. Main Street",,"Lancaster","OH","43130",3,2021-06-14 09:12:23,2021-06-14 09:12:23,"5",,"42412"
"426","426","OH-507","399085","1 Victoria Pl","Ste 265A","Painesville","OH","44077",2,2021-06-14 09:12:24,2021-06-14 09:12:24,"5",,"42412"
"427","427","OH-507","399155","4076 Youngstown Rd SE","Ste 201","Warren","OH","44484",2,2021-06-14 09:12:24,2021-06-14 09:12:24,"5",,"42412"
"430","430","OH-507","399085","270 E Main St","Ste. 300","Painesville","OH","44077",2,2021-06-14 09:12:26,2021-06-14 09:12:26,"5",,"42412"
"1162","431","OH-507","399017","2052 Princeton Rd.",,"Hamilton","OH","45011",2,2021-07-01 10:53:44,2021-07-01 10:53:44,"24",,"42412"
"432","432","OH-507","399017","2052 Princeton Rd.",,"Hamilton","OH","45011",2,2021-06-14 09:12:29,2021-06-14 09:12:29,"5",,"42412"
"433","433","OH-507","399085","270 E Main St","Ste. 300","Painesville","OH","44077",2,2021-06-14 09:12:30,2021-06-14 09:12:30,"5",,"42412"
"434","434","OH-507","391602","628 Poplar Street",,"Elyria","OH","44035",1,2021-06-14 09:12:30,2021-06-14 09:12:30,"5",,"42412"
"435","435","OH-507","391602","628 Poplar Street",,"Elyria","OH","44035",1,2021-06-14 09:12:31,2021-06-14 09:12:31,"5",,"42412"
"436","436","OH-507","399163","605 W Main St",,"Mc Arthur","OH","45651",3,2021-06-14 09:12:32,2021-06-14 09:12:32,"5",,"42412"
"437","437","OH-507","399163","605 W Main St",,"Mc Arthur","OH","45651",3,2021-06-14 09:12:33,2021-06-14 09:12:33,"5",,"42412"
"438","438","OH-507","399163","605 W Main St",,"Mc Arthur","OH","45651",3,2021-06-14 09:12:33,2021-06-14 09:12:33,"5",,"42412"
"439","439","OH-507","393012","88 W 3rd St",,"Mansfield","OH","44902",1,2021-06-14 09:12:34,2021-06-14 09:12:34,"5",,"42412"
"440","440","OH-507","393558","23 S. Park Place Suite 200",,"Newark","OH","43055",2,2021-06-14 09:12:35,2021-06-14 09:12:35,"5",,"42412"
"1155","441","OH-507","399149","various churches",,"Sidney","OH","45365",3,2021-07-01 10:49:54,2021-07-01 10:49:54,"24",,"42412"
"442","442","OH-507","399119","857 Putnam Ave",,"Zanesville","OH","43701",3,2021-06-14 09:12:37,2021-06-14 09:12:37,"5",,"42412"
"443","443","OH-507","399171","Confidential - Social Service Agency",,"Bryan","OH","43506",3,2021-06-14 09:12:38,2021-06-14 09:12:38,"5",,"42412"
"445","445","OH-507","399025","43 E Main St",,"Amelia","OH","45102",2,2021-06-14 09:12:39,2021-06-14 09:12:39,"5",,"42412"
"446","446","OH-507","399155","155 Tod Ave NW",,"Warren","OH","44485",2,2021-06-14 09:12:39,2021-06-14 09:12:39,"5",,"42412"
"447","447","OH-507","399037","1469 Sweitzer Street",,"Greenville","OH","45331",3,2021-06-14 09:12:40,2021-06-14 09:12:40,"5",,"42412"
"448","448","OH-507","394998","Confidential - Reigns of Renewal",,"Springfield","OH","45503",1,2021-06-14 09:12:40,2021-06-14 09:12:40,"5",,"42412"
"449","449","OH-507","399135","111 W. Somers St.",,"Eaton","OH","45320",3,2021-06-14 09:12:41,2021-06-14 09:12:41,"5",,"42412"
"450","450","OH-507","399029","40722 State Route 154",,"Lisbon","OH","44432",3,2021-06-14 09:12:41,2021-06-14 09:12:41,"5",,"42412"
"1116","451","OH-507","399135","111 W. Somers St.",,"Eaton","OH","45320",3,2021-06-30 15:20:49,2021-06-30 15:20:49,"24",,"42412"
"452","452","OH-507","399169","104 Spink St.",,"Wooster","OH","44691",3,2021-06-14 09:12:43,2021-06-14 09:12:43,"5",,"42412"
"453","453","OH-507","399055","Confidential - Geauga - United Way",,"Chardon","OH","44024",2,2021-06-14 09:12:44,2021-06-14 09:12:44,"5",,"42412"
"454","454","OH-507","399055","15583 Burton Windsor Road",,"Middlefield","OH","44062",3,2021-06-14 09:12:44,2021-06-14 09:12:44,"5",,"42412"
"455","455","OH-507","393558","65 Messimer Drive",,"Newark","OH","43055",2,2021-06-14 09:12:45,2021-06-14 09:12:45,"5",,"42412"
"457","457","OH-507","399109","1100 Wayne St Ste 4001",,"Troy","OH","45373",2,2021-06-14 09:12:45,2021-06-14 09:12:45,"5",,"42412"
"458","458","OH-507","399169","104 Spink St.",,"Wooster","OH","44691",3,2021-06-14 09:12:46,2021-06-14 09:12:46,"5",,"42412"
"462","462","OH-507","399007","4200 Park Ave","Third Floor","Ashtabula","OH","44004",3,2021-06-14 09:12:48,2021-06-14 09:12:48,"5",,"42412"
