HMISParticipationID,ProjectID,HMISParticipationType,HMISParticipationStatusStartDate,HMISParticipationStatusEndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"186","186",1,2012-12-14,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"187","187",1,2012-12-14,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"188","188",1,2012-12-14,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"189","189",1,2012-12-14,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"190","190",1,2012-12-14,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"191","191",1,2012-12-14,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"192","192",1,2012-12-14,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"195","195",1,2012-12-14,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"196","196",1,2012-12-14,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"197","197",1,2012-12-14,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"198","198",1,2012-12-14,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"199","199",1,2012-12-14,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"200","200",1,2012-12-14,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"201","201",1,2012-12-14,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"202","202",1,2012-12-14,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"203","203",1,2020-01-01,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"204","204",1,2007-12-14,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"205","205",1,2012-12-21,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"206","206",1,2012-12-21,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"207","207",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"208","208",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"209","209",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"210","210",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"211","211",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
