InventoryID,ProjectID,CoCCode,HouseholdType,Availability,UnitInventory,BedInventory,CHVetBedInventory,YouthVetBedInventory,VetBedInventory,CHYouthBedInventory,YouthBedInventory,CHBedInventory,OtherBedInventory,ESBedType,InventoryStartDate,InventoryEndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"127","55","OH-507",3,1,4,14,,,,,,,14,1,2011-01-01,2015-12-31,2021-06-14 09:34:06,2021-06-14 09:34:06,"5",,"42412"
"132","55","OH-507",1,1,14,14,,,,,,,14,1,2011-01-01,2015-12-31,2021-06-14 09:34:06,2021-07-09 02:20:39,"30",,"42412"
"137","55","OH-507",1,1,12,12,,,,,,,12,1,2016-01-01,,2021-06-14 09:34:06,2021-07-09 02:20:44,"30",,"42412"
"140","56","OH-507",1,1,26,26,,,,,,,26,1,2011-01-01,2021-09-30,2021-06-14 09:34:06,2023-12-18 13:08:30,"27",,"42412"
"142","56","OH-507",3,1,6,24,,,,,,,24,1,2011-01-01,2021-09-30,2021-06-14 09:34:06,2023-12-18 13:08:36,"27",,"42412"
"1824","56","OH-507",1,1,24,24,,,,,,,24,1,2021-10-01,,2023-12-18 13:09:30,2023-12-18 13:09:30,"27",,"42412"
"1825","56","OH-507",3,1,6,28,,,,,,,28,1,2021-10-01,,2023-12-18 13:10:09,2023-12-18 13:11:03,"27",,"42412"
"144","57","OH-507",3,1,3,6,,,,,,,6,1,2013-10-01,,2021-06-14 09:34:06,2021-06-14 09:34:06,"5",,"42412"
"146","57","OH-507",1,1,20,20,,,,,,,20,1,2011-02-01,,2021-06-14 09:34:06,2021-07-11 19:27:08,"26",,"42412"
"147","58","OH-507",1,1,7,7,,,,,,,7,1,2011-01-01,,2021-06-14 09:34:06,2023-01-19 11:44:47,"27",,"42412"
"148","58","OH-507",3,1,7,14,,,,,,,14,1,2011-01-01,,2021-06-14 09:34:06,2023-01-19 11:44:55,"27",,"42412"
"149","59","OH-507",3,1,4,14,,,,,,,14,1,2011-01-01,2018-01-09,2021-06-14 09:34:06,2021-06-14 09:34:06,"5",,"42412"
"150","59","OH-507",1,1,10,10,,,,,,,10,1,2018-01-10,,2021-06-14 09:34:06,2021-07-07 22:36:36,"30",,"42412"
"152","59","OH-507",1,1,11,11,,,,,,,11,1,2011-01-01,2018-01-09,2021-06-14 09:34:06,2021-07-07 22:36:42,"30",,"42412"
"154","59","OH-507",3,1,4,10,,,,,,,10,1,2018-01-10,,2021-06-14 09:34:06,2021-06-14 09:34:06,"5",,"42412"
"156","60","OH-507",3,1,2,6,,,,,,,6,1,2011-01-01,,2021-06-14 09:34:06,2021-06-14 09:34:06,"5",,"42412"
"158","60","OH-507",1,1,20,20,,,,,,,20,1,2011-01-01,,2021-06-14 09:34:07,2021-07-09 02:34:48,"30",,"42412"
"157","64","OH-507",3,,6,12,,,,,,,12,,2011-01-01,2015-12-31,2021-06-14 09:34:06,2021-06-14 09:34:06,"5",,"42412"
"159","64","OH-507",3,,9,18,,,,,,18,,,2018-12-01,,2021-06-14 09:34:07,2024-04-08 14:37:54,"424",,"42412"
"161","64","OH-507",1,,17,17,,,,,,17,,,2018-12-01,,2021-06-14 09:34:07,2023-02-17 11:34:16,"30",,"42412"
"163","64","OH-507",1,,0,6,,,,,,6,,,2013-10-01,2018-11-30,2021-06-14 09:34:07,2021-06-14 09:34:07,"5",,"42412"
