YouthEducationStatusID,EnrollmentID,PersonalID,InformationDate,CurrentSchoolAttend,MostRecentEdStatus,CurrentEdStatus,DataCollectionStage,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"591011","406211","122302",2022-10-26,,1,,3,2022-07-11 12:10:32,2023-02-13 13:01:28,"475",,"42412"
"560136","411094","131649",2022-03-17,,99,,1,2022-04-08 16:13:29,2023-03-13 12:39:42,"475",,"42412"
"612174","411094","131649",2022-09-12,,99,,3,2022-09-12 14:01:27,2022-09-12 14:01:27,"475",,"42412"
"570392","415182","5080",2022-05-03,,99,,1,2022-05-05 20:37:55,2022-05-05 20:37:55,"475",,"42412"
"599320","415182","5080",2022-08-04,,99,,3,2022-08-04 09:43:47,2022-08-04 09:43:47,"475",,"42412"
"570398","415187","3054",2022-05-04,,99,,1,2022-05-05 20:50:21,2022-10-31 17:06:29,"475",,"42412"
"629677","415187","3054",2022-10-31,,99,,3,2022-10-31 17:07:36,2022-10-31 17:07:36,"475",,"42412"
"573102","416362","132460",2022-05-16,,2,,1,2022-05-16 12:39:40,2023-01-04 16:06:39,"424",,"42412"
"609850","416362","132460",2022-10-31,,5,,3,2022-09-05 12:29:46,2022-12-30 12:54:05,"475",,"42412"
"615517","435457","15628",2022-09-19,,2,,1,2022-09-21 14:06:19,2024-05-17 15:36:30,"753",,"42412"
"825242","435457","15628",2024-07-31,,2,,3,2024-08-06 13:21:16,2024-08-19 09:22:54,"753",,"42412"
"628692","441215","83719",2022-10-20,,4,,1,2022-10-27 19:20:47,2022-10-27 19:20:47,"475",,"42412"
"633641","441215","83719",2022-11-04,,4,,3,2022-11-10 13:38:46,2022-11-10 13:38:46,"475",,"42412"
"631864","442567","142718",2022-10-31,,99,,1,2022-11-07 10:33:10,2024-05-17 15:37:19,"753",,"42412"
"696197","442567","142718",2023-06-06,,99,,3,2023-06-07 09:43:02,2024-05-17 11:37:21,"260",,"42412"
"632176","442702","141668",2022-11-02,,2,,1,2022-11-07 19:55:45,2023-11-16 12:56:43,"761",,"42412"
"753611","442702","141668",2023-12-05,,2,,3,2023-12-13 11:07:25,2024-04-24 12:39:22,"910",,"42412"
"635471","444175","12980",2022-11-15,,2,,1,2022-11-17 07:22:21,2024-05-17 15:40:50,"753",,"42412"
"668962","444175","12980",2023-03-07,,2,,3,2023-03-07 10:08:16,2024-05-20 10:04:41,"753",,"42412"
"638978","445579","5080",2022-11-29,,99,,1,2022-11-30 12:52:05,2024-05-17 15:43:30,"753",,"42412"
"699186","445579","5080",2024-05-31,,99,,3,2023-06-15 21:23:28,2024-08-14 09:10:11,"753",,"42412"
"645228","448257","144162",2022-12-02,,2,,1,2022-12-19 11:49:57,2024-05-20 09:52:36,"753",,"42412"
"656664","452844","99378",2023-01-20,,99,,1,2023-01-25 19:26:49,2023-01-25 19:26:49,"475",,"42412"
"673189","452844","99378",2023-03-20,,99,,3,2023-03-21 08:51:05,2024-05-17 12:01:57,"260",,"42412"
"664413","455931","146006",2023-02-13,,99,,1,2023-02-20 08:52:04,2024-05-20 09:57:36,"753",,"42412"
